last_name, first_name,player_id,year,Age,AB,PA,H,1B,2B,3B,HR,K,BB,K%,BB%,AVG,SLG,OBP,OPS,TB,CS,SB,GIDP,HBP,IBB,SB,SF,R,OBA
Cabrera, Miguel,408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,0.256,0.386,0.316,0.701,182,0,0,21,5,0,0,9,48,0.305
Cruz Jr., Nelson,443558,2021,40,513,584,136,82,21,1,32,126,51,21.6,8.7,0.265,0.497,0.332,0.829,255,0,3,14,7,10,0,9,79,0.346
Peralta, David,444482,2021,33,487,538,126,80,30,8,8,92,46,17.1,8.6,0.259,0.402,0.325,0.728,196,1,2,9,3,3,0,2,57,0.314
Blackmon, Charlie,453568,2021,34,514,582,139,97,25,4,13,91,54,15.6,9.3,0.270,0.411,0.351,0.761,211,0,3,8,11,1,0,3,76,0.333
McCutchen, Andrew,457705,2021,34,482,574,107,55,24,1,27,132,81,23.0,14.1,0.222,0.444,0.334,0.778,214,1,6,10,4,2,0,7,78,0.335
Turner, Justin,457759,2021,36,533,612,148,99,22,0,27,98,61,16.0,10.0,0.278,0.471,0.361,0.832,251,0,3,12,12,0,0,6,87,0.358
Votto, Joey,458015,2021,37,448,533,119,59,23,1,36,127,77,23.8,14.4,0.266,0.563,0.375,0.938,252,0,1,7,4,6,0,4,73,0.391
Andrus, Elvis,462101,2021,32,497,541,121,91,25,2,3,81,31,15.0,5.7,0.243,0.320,0.292,0.612,159,2,12,14,6,2,3,4,60,0.270
Santana, Carlos,467793,2021,35,565,659,121,87,15,0,19,102,86,15.5,13.1,0.214,0.342,0.319,0.660,193,0,2,12,3,3,0,5,66,0.294
Lowrie, Jed,476704,2021,37,457,512,112,70,28,0,14,108,49,21.1,9.6,0.245,0.398,0.318,0.717,182,0,0,8,2,1,0,4,55,0.311
Brantley Jr., Michael,488726,2021,34,469,508,146,106,29,3,8,53,33,10.4,6.5,0.311,0.437,0.362,0.799,205,0,1,11,5,1,0,1,68,0.347
Gurriel, Yuli,493329,2021,37,530,605,169,123,31,0,15,68,59,11.2,9.8,0.319,0.462,0.383,0.846,245,1,1,16,4,2,0,12,83,0.363
Rojas, Miguel,500743,2021,32,495,539,131,89,30,3,9,74,37,13.7,6.9,0.265,0.392,0.321,0.713,194,3,13,10,5,0,1,1,66,0.311
Escobar, Eduardo,500871,2021,32,549,599,139,80,26,5,28,124,48,20.7,8.0,0.253,0.472,0.314,0.786,259,0,1,3,1,1,0,1,77,0.334
Pham, Tommy,502054,2021,33,475,561,109,68,24,2,15,128,78,22.8,13.9,0.229,0.383,0.340,0.724,182,6,14,10,4,3,0,4,74,0.318
Martinez, J.D.,502110,2021,33,570,634,163,90,42,3,28,150,55,23.7,8.7,0.286,0.518,0.349,0.866,295,0,0,18,3,6,0,5,92,0.364
Goldschmidt, Paul,502671,2021,33,603,679,177,108,36,2,31,136,67,20.0,9.9,0.294,0.514,0.365,0.879,310,0,12,13,4,2,0,5,102,0.373
Altuve, Jose,514888,2021,31,601,678,167,103,32,1,31,91,66,13.4,9.7,0.278,0.489,0.350,0.839,294,3,5,9,4,3,1,6,117,0.357
Hernandez, Cesar,514917,2021,31,570,637,132,88,21,2,21,135,59,21.2,9.3,0.232,0.386,0.308,0.694,220,1,1,11,5,2,0,3,84,0.302
Segura, Jean,516416,2021,31,514,567,149,105,27,3,14,78,39,13.8,6.9,0.290,0.436,0.347,0.783,224,3,9,16,9,3,1,4,76,0.338
Marte, Starling,516782,2021,32,467,526,145,103,27,3,12,99,43,18.8,8.2,0.310,0.458,0.382,0.840,214,5,47,6,13,2,1,2,89,0.364
Donaldson, Josh,518626,2021,35,457,543,113,61,26,0,26,114,74,21.0,13.6,0.247,0.475,0.352,0.827,217,0,0,22,4,2,0,8,73,0.353
Freeman, Freddie,518692,2021,31,600,695,180,122,25,2,31,107,85,15.4,12.2,0.300,0.503,0.393,0.896,302,3,8,11,8,15,0,2,120,0.379
LeMahieu, DJ,518934,2021,32,597,679,160,125,24,1,10,94,73,13.8,10.8,0.268,0.362,0.349,0.711,216,2,4,16,4,2,0,5,84,0.315
Rizzo, Anthony,519203,2021,31,496,576,123,75,23,3,22,87,52,15.1,9.0,0.248,0.440,0.344,0.783,218,2,6,15,23,2,0,5,73,0.339
Stanton, Giancarlo,519317,2021,31,510,579,139,85,19,0,35,157,63,27.1,10.9,0.273,0.516,0.354,0.870,263,0,0,22,3,1,0,3,64,0.370
Perez, Salvador,521692,2021,31,620,665,169,97,24,0,48,170,28,25.6,4.2,0.273,0.544,0.316,0.859,337,0,1,14,13,4,0,4,88,0.359
Garcia, Avisail,541645,2021,30,461,515,121,74,18,0,29,121,38,23.5,7.4,0.262,0.490,0.330,0.820,226,4,8,12,11,5,0,5,68,0.346
Villar, Jonathan,542340,2021,30,454,505,113,75,18,2,18,132,46,26.1,9.1,0.249,0.416,0.321,0.737,189,7,14,6,3,2,2,0,63,0.320
Aguilar, Jesus,542583,2021,31,449,510,117,72,23,0,22,93,46,18.2,9.0,0.261,0.459,0.325,0.784,206,0,0,11,3,4,0,7,49,0.334
Crawford, Brandon,543063,2021,34,483,549,144,87,30,3,24,105,56,19.1,10.2,0.298,0.522,0.373,0.895,252,3,11,8,5,6,0,5,79,0.377
Cron, C.J.,543068,2021,31,470,547,132,72,31,1,28,117,60,21.4,11.0,0.281,0.530,0.375,0.905,249,0,1,11,13,3,0,4,70,0.383
Grossman, Robbie,543257,2021,31,557,671,133,84,23,3,23,155,98,23.1,14.6,0.239,0.415,0.356,0.771,231,5,20,8,8,3,2,6,88,0.337
Harrison, Josh,543281,2021,33,505,558,141,98,33,2,8,75,31,13.4,5.6,0.279,0.400,0.341,0.741,202,5,9,9,18,0,0,3,58,0.325
Hosmer, Eric,543333,2021,31,509,565,137,97,28,0,12,99,48,17.5,8.5,0.269,0.395,0.336,0.731,201,4,5,13,5,2,1,2,53,0.319
Semien, Marcus,543760,2021,30,652,724,173,87,39,2,45,146,66,20.2,9.1,0.265,0.538,0.334,0.873,351,1,15,9,3,0,0,3,115,0.368
Grichuk, Randal,545341,2021,29,511,545,123,75,25,1,22,114,27,20.9,5.0,0.241,0.423,0.281,0.703,216,3,0,17,3,0,0,4,59,0.300
Harper, Bryce,547180,2021,28,488,599,151,73,42,1,35,134,100,22.4,16.7,0.309,0.615,0.427,1.042,300,3,13,12,5,14,2,4,101,0.431
